CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N
NY_6993_5,8.01,3.48,6.45,5.35,10.48,10.58,9.06,14.13,12.41,12.69,16.18,17.01,10.18,11.28,16.46,16.71,16.18,13.66,3.66,10.45,17.47,9.82,5.14,2.00,3.53,5.55,4.54,55.97,2.80,5.15,2.77,4.36,7.77,4.59,7.51,2.99,9.80,3.64,4.99,4.03,16.06,23.00
NY_6993_6,6.34,4.05,4.87,3.90,7.79,9.70,6.33,9.34,9.24,10.38,12.42,12.83,7.56,7.60,9.54,12.53,11.41,9.70,2.02,7.40,11.34,8.05,3.15,1.42,2.64,3.43,3.01,38.62,2.03,3.55,2.88,3.45,6.55,3.67,5.93,2.83,7.33,3.21,3.63,2.43,11.94,17.00
NY_6993_7,6.46,2.85,6.00,3.91,8.41,9.40,7.10,11.36,14.15,11.61,14.22,14.89,7.99,8.78,12.24,14.74,13.21,9.76,2.67,7.80,12.62,8.64,4.64,1.70,4.55,5.34,4.98,45.29,2.15,4.33,2.66,4.77,7.47,3.67,5.88,2.98,7.62,3.28,4.20,3.34,13.02,22.00
NY_6993_8,7.86,3.73,6.51,4.93,9.96,10.74,8.85,13.22,12.43,12.85,15.59,18.48,10.24,12.96,17.63,19.27,15.85,14.26,3.53,8.39,16.05,11.08,4.89,1.85,4.49,5.88,5.94,54.57,2.95,5.31,2.91,6.69,9.06,5.08,7.38,3.54,9.52,4.29,5.06,3.63,16.12,22.00
NY_6993_9,7.51,3.76,6.44,5.17,10.35,11.66,8.59,13.64,12.19,13.15,16.44,17.76,11.87,11.24,14.72,19.01,16.05,13.62,2.93,9.53,15.85,10.64,3.92,2.00,3.81,4.92,4.55,52.80,2.84,4.76,3.03,6.61,7.87,4.82,7.61,3.43,9.58,3.36,4.84,2.83,15.78,23.00
NY_6993_10,7.57,3.38,6.27,5.66,11.61,11.30,8.74,13.69,11.57,14.51,16.40,19.00,11.02,10.47,16.65,18.94,14.76,12.63,3.45,8.62,15.76,11.22,5.26,1.85,6.13,6.18,6.33,56.35,3.69,4.69,3.00,6.54,8.51,4.87,7.77,5.22,9.73,3.81,4.74,3.30,15.97,22.00
NY_6993_11,7.71,3.76,7.73,4.73,9.33,10.89,9.27,12.43,10.85,12.73,14.77,18.25,9.38,9.64,14.03,15.47,13.97,12.69,3.35,9.00,13.59,11.47,4.45,1.68,4.67,5.28,6.03,50.09,3.02,4.83,3.55,4.69,8.99,4.99,7.40,3.99,9.37,3.31,4.42,3.02,14.61,24.00
NY_6993_12,8.05,3.50,6.69,4.79,10.13,11.72,8.41,13.70,12.62,14.20,16.10,19.19,10.86,10.65,17.04,18.70,15.97,13.92,3.11,9.04,14.74,10.16,5.17,2.02,4.31,4.59,5.65,55.65,2.56,5.35,2.67,6.69,8.79,5.03,7.79,3.46,10.04,4.16,5.01,4.19,15.92,14.00
NY_6993_13,7.66,3.66,6.52,4.65,9.31,11.38,8.12,14.12,11.80,13.92,16.37,18.33,11.48,10.61,15.88,18.18,15.49,13.46,3.08,9.91,14.48,9.80,4.62,1.94,4.19,6.47,5.41,54.89,2.85,4.69,3.02,6.34,8.56,5.05,6.68,3.80,9.52,3.71,4.86,3.55,14.77,23.00
NY_6993_14,7.73,4.10,6.12,4.79,9.96,10.79,8.56,13.82,11.66,13.77,16.62,19.16,10.66,11.35,17.59,19.23,16.30,14.16,3.31,10.15,15.63,11.55,4.50,1.92,3.75,5.33,4.82,55.50,2.75,7.10,3.44,4.06,8.79,4.46,7.59,4.03,9.56,4.07,4.95,3.74,15.57,19.00
NY_6993_15,7.54,3.50,6.70,5.18,10.48,11.80,9.15,14.08,12.60,14.85,17.51,20.78,10.69,11.67,17.09,19.48,16.93,14.17,3.11,11.04,15.62,11.24,4.79,1.95,4.43,5.89,5.18,57.51,3.09,4.89,3.53,5.01,7.87,4.81,7.86,3.98,9.56,3.90,5.06,4.07,16.48,25.00
NY_71641_1,6.51,2.98,4.97,4.11,8.44,10.43,6.97,10.46,10.03,10.21,12.73,14.66,6.61,8.42,11.58,13.12,11.83,9.44,2.87,8.22,11.47,8.53,3.51,1.58,2.82,4.61,4.57,42.25,2.48,3.78,2.24,4.48,7.15,3.91,6.34,2.70,7.82,2.54,3.96,2.80,12.99,21.00
NY_71641_2,6.73,3.07,5.35,4.45,9.40,10.85,8.52,12.86,12.69,13.17,15.81,18.57,11.07,11.86,18.16,19.35,17.67,12.93,2.74,7.42,14.17,11.45,4.05,1.68,4.62,6.06,4.37,53.26,2.97,4.31,2.63,4.94,8.17,4.66,6.97,3.23,8.85,2.42,4.29,2.46,14.72,21.00
NY_71641_3,7.41,3.41,5.71,6.49,9.63,11.62,8.51,13.53,11.33,12.28,14.42,18.84,10.66,9.52,15.35,16.69,15.07,12.90,2.32,8.51,13.40,10.62,4.94,1.92,3.96,5.32,5.55,52.98,2.94,4.43,2.73,5.40,7.85,4.76,7.07,2.99,9.00,3.25,4.02,2.63,14.26,21.00
NY_71641_4,7.53,3.37,5.43,5.22,10.61,11.51,8.07,14.44,13.81,15.00,17.29,19.22,9.89,12.78,15.82,19.42,17.44,13.56,2.72,9.33,15.37,11.27,3.77,2.00,4.14,5.50,4.87,53.94,3.15,4.14,3.09,4.99,9.00,4.97,7.01,3.44,9.46,2.52,4.37,2.76,15.28,24.00
NY_71641_5,7.99,3.41,5.78,6.03,9.54,10.36,8.04,12.00,11.14,12.10,14.85,16.32,8.99,9.41,11.12,14.87,14.26,12.50,2.21,8.45,12.81,9.16,3.41,1.66,3.56,4.40,5.76,47.15,3.36,4.11,2.55,4.28,7.36,5.28,7.38,2.98,9.45,2.80,4.18,3.19,14.72,21.00
NY_71641_6,6.86,3.41,5.29,4.80,8.75,10.75,6.56,11.40,11.18,11.46,14.68,16.35,8.50,9.76,12.02,14.34,13.93,10.80,3.25,8.01,12.48,10.49,3.56,1.69,4.99,4.97,5.81,45.86,2.85,3.73,2.62,5.01,7.28,4.32,6.79,3.03,8.48,2.99,3.89,2.47,13.81,21.00
NY_71641_7,6.78,3.55,5.14,5.05,9.10,10.67,7.44,12.55,11.87,12.57,15.21,16.97,7.40,10.74,13.58,15.86,14.73,10.74,2.66,8.46,12.65,9.34,3.84,1.52,3.63,4.93,5.31,48.64,2.92,4.39,3.11,5.17,7.61,4.69,7.13,3.19,8.30,3.34,4.69,3.21,14.28,20.00
NY_71641_8,6.72,2.90,5.85,5.62,8.97,8.81,7.58,12.53,12.26,12.54,15.47,17.46,9.44,9.46,13.70,17.28,15.90,11.84,2.68,7.93,12.43,9.77,4.97,1.70,4.66,5.63,6.41,48.21,2.53,4.34,2.70,4.05,7.37,4.52,6.41,2.85,8.01,2.99,3.96,2.47,13.75,22.00
NY_71641_9,7.11,3.28,5.63,5.11,9.22,10.29,7.88,12.03,10.64,11.77,13.94,17.04,7.92,9.29,11.80,13.54,11.99,12.28,2.77,8.94,13.75,10.51,3.58,1.81,3.01,5.28,4.12,44.52,2.71,4.23,3.05,3.98,7.43,4.37,7.07,2.83,8.57,3.24,4.10,2.52,14.03,22.00
NY_71641_10,6.82,5.51,5.38,4.46,9.30,10.20,7.54,11.29,10.05,10.65,12.43,15.34,5.14,12.79,11.29,13.37,12.11,11.70,3.18,8.02,11.40,9.52,3.21,1.45,3.87,5.29,5.85,43.92,3.19,4.35,2.62,4.33,6.97,4.61,7.11,3.08,8.16,3.27,4.11,2.78,13.30,21.00
NY_71641_11,8.42,4.08,5.89,5.77,10.47,12.12,9.09,13.80,12.67,14.67,16.05,19.25,11.16,11.88,14.59,18.14,16.56,14.43,3.27,10.14,15.74,11.71,5.34,1.87,4.61,6.26,4.86,56.14,3.00,4.70,3.13,3.68,8.89,5.39,8.65,3.43,10.17,3.65,4.96,3.08,16.38,21.00
NY_71641_12,6.32,2.27,5.05,5.18,9.13,10.59,7.35,10.56,10.17,11.08,13.36,15.54,6.91,8.66,12.70,14.08,13.02,10.56,2.69,8.65,10.88,10.89,3.88,1.58,3.83,5.24,4.80,44.76,2.76,3.99,2.35,3.60,7.74,4.86,6.82,2.69,8.30,3.20,4.12,3.03,13.88,21.00
NY_71641_13,7.79,3.82,5.81,5.94,10.21,10.60,8.03,12.19,11.68,11.96,14.88,17.58,8.45,9.22,12.21,15.35,14.24,12.29,2.69,10.27,12.49,9.30,3.31,1.97,3.13,5.10,3.39,47.68,3.22,3.66,3.02,4.86,8.34,4.66,7.72,3.03,9.37,3.67,4.55,3.20,15.34,21.00
NY_71641_14,6.15,3.01,5.64,4.69,7.88,9.92,6.50,10.33,10.32,9.89,12.57,13.68,7.24,8.22,10.65,13.60,12.53,10.13,2.72,7.87,12.27,8.77,3.80,1.70,4.24,3.74,4.44,40.98,2.58,4.00,2.63,3.70,6.45,4.28,5.11,2.82,7.53,2.56,3.83,2.59,13.10,20.00
